No Optimization
500,  0.64, 391,  0.02, 12686
1000,  8.06, 248,  0.15, 13347
1500, 34.79, 194,  0.50, 13522
2000, 82.95, 192,  1.17, 13680
2500, 179.30, 174,  2.28, 13705
3000, 301.73, 178,  3.94, 13698
3500, 542.43, 158,  6.24, 13737
4000, 750.86, 170,  9.33, 13725
4500, 1187.73, 153, 13.28, 13721
5000, 1505.63, 166, 18.20, 13739
O1
500,  0.30, 829,  0.02, 12618
1000,  6.55, 305,  0.15, 13349
1500, 23.23, 290,  0.50, 13524
2000, 63.87, 250,  1.17, 13677
2500, 125.35, 249,  2.28, 13692
3000, 244.15, 221,  3.95, 13682
3500, 406.98, 210,  6.24, 13738
4000, 636.23, 201,  9.32, 13734
4500, 914.00, 199, 13.28, 13727
5000, 1275.51, 196, 18.19, 13744
O2
500,  0.15, 1663,  0.02, 12611
1000,  6.42, 311,  0.15, 13358
1500, 22.57, 299,  0.50, 13520
2000, 61.35, 260,  1.17, 13676
2500, 119.92, 260,  2.28, 13702
3000, 234.20, 230,  3.94, 13688
3500, 386.96, 221,  6.24, 13739
4000, 569.27, 224,  9.32, 13736
4500, 853.74, 213, 13.29, 13715
5000, 1181.85, 211, 18.19, 13745
O3
500,  0.15, 1653,  0.02, 12612
1000,  6.41, 311,  0.15, 13341
1500, 22.50, 300,  0.50, 13510
2000, 61.27, 261,  1.17, 13684
2500, 119.84, 260,  2.28, 13701
3000, 233.50, 231,  3.94, 13690
3500, 386.47, 221,  6.24, 13738
4000, 584.31, 219,  9.32, 13734
4500, 853.12, 213, 13.27, 13729
5000, 1181.13, 211, 18.19, 13743
O3 -funroll-loops
500,  0.13, 1961,  0.02, 12658
1000,  6.40, 312,  0.15, 13357
1500, 22.66, 297,  0.50, 13519
2000, 62.41, 256,  1.17, 13680
2500, 121.81, 256,  2.28, 13700
3000, 237.66, 227,  3.95, 13683
3500, 397.97, 215,  6.24, 13739
4000, 594.12, 215,  9.32, 13736
4500, 873.98, 208, 13.27, 13729
5000, 1215.30, 205, 18.19, 13743
