500,  0.65, 383,  0.02, 12304
1000,  9.04, 221,  0.15, 12966
1500, 35.50, 190,  0.51, 13131
2000, 83.25, 192,  1.21, 13262
2500, 180.92, 172,  2.35, 13300
3000, 304.17, 177,  4.06, 13285
3500, 552.40, 155,  6.44, 13317
4000, 756.71, 169,  9.60, 13338
4500, 1208.87, 150, 13.67, 13330
5000, 1524.16, 164, 18.18, 13754
