No Optimization
500,  0.63, 393,  0.02, 12758
1000,  7.23, 276,  0.15, 13398
1500, 34.31, 196,  0.50, 13537
2000, 81.94, 195,  1.17, 13676
2500, 176.81, 176,  2.28, 13703
3000, 300.09, 179,  3.94, 13689
3500, 539.67, 158,  6.24, 13747
4000, 734.00, 174,  9.31, 13746
4500, 1181.24, 154, 13.27, 13737
5000, 1491.43, 167, 18.18, 13754
O1
500,  0.64, 392,  0.02, 12393
1000,  7.82, 255,  0.15, 13370
1500, 34.56, 195,  0.50, 13532
2000, 81.51, 196,  1.17, 13686
2500, 176.09, 177,  2.28, 13713
3000, 294.19, 183,  3.94, 13699
3500, 536.38, 159,  6.24, 13749
4000, 734.15, 174,  9.31, 13746
4500, 1178.10, 154, 13.26, 13740
5000, 1485.67, 168, 18.17, 13756
O2
500,  0.64, 391,  0.02, 12394
1000,  8.01, 249,  0.15, 13380
1500, 34.64, 194,  0.50, 13539
2000, 81.59, 196,  1.17, 13699
2500, 176.60, 176,  2.28, 13716
3000, 297.76, 181,  3.94, 13702
3500, 536.54, 159,  6.23, 13756
4000, 742.65, 172,  9.31, 13747
4500, 1176.70, 154, 13.26, 13744
5000, 1486.66, 168, 18.17, 13759
O3
500,  0.16, 1601,  0.02, 12684
1000,  6.41, 312,  0.15, 13361
1500, 22.45, 300,  0.50, 13504
2000, 62.18, 257,  1.17, 13664
2500, 117.07, 266,  2.28, 13692
3000, 241.55, 223,  3.95, 13672
3500, 388.59, 220,  6.25, 13726
4000, 578.49, 221,  9.32, 13733
4500, 860.26, 211, 13.29, 13715
5000, 1189.24, 210, 18.19, 13743
O3 -funroll-loops
500,  0.13, 1981,  0.02, 12640
1000,  6.41, 312,  0.15, 13328
1500, 22.44, 300,  0.50, 13531
2000, 63.87, 250,  1.17, 13685
2500, 121.32, 257,  2.28, 13701
3000, 241.33, 223,  3.94, 13689
3500, 400.99, 213,  6.24, 13740
4000, 598.38, 213,  9.32, 13736
4500, 888.49, 205, 13.27, 13733
5000, 1235.46, 202, 18.17, 13759
