***-03 Optimization***
500,  0.15, 1649,  0.02, 12684
1000,  6.40, 312,  0.15, 13369
1500, 22.44, 300,  0.50, 13537
2000, 61.34, 260,  1.17, 13691
2500, 120.79, 258,  2.28, 13710
3000, 233.25, 231,  3.94, 13699
3500, 386.27, 221,  6.23, 13757
4000, 578.94, 221,  9.31, 13746
4500, 852.82, 213, 13.26, 13745
5000, 1179.32, 211, 18.16, 13765
500,  0.15, 1637,  0.02, 12622
1000,  6.42, 311,  0.15, 13367
1500, 22.50, 300,  0.50, 13522
2000, 61.38, 260,  1.17, 13684
2500, 120.00, 260,  2.28, 13714
3000, 235.10, 229,  3.94, 13690
3500, 386.91, 221,  6.24, 13748
4000, 577.83, 221,  9.31, 13745
4500, 853.41, 213, 13.27, 13738
5000, 1181.68, 211, 18.18, 13751
500,  0.15, 1672,  0.02, 12686
1000,  6.42, 311,  0.15, 13353
1500, 22.65, 297,  0.50, 13521
2000, 61.40, 260,  1.17, 13671
2500, 119.43, 261,  2.28, 13691
3000, 233.41, 231,  3.95, 13677
3500, 387.54, 221,  6.24, 13733
4000, 583.03, 219,  9.32, 13731
4500, 852.92, 213, 13.28, 13719
5000, 1180.84, 211, 18.19, 13742
500,  0.15, 1653,  0.02, 12591
1000,  6.41, 311,  0.15, 13349
1500, 22.60, 298,  0.50, 13522
2000, 61.42, 260,  1.17, 13674
2500, 119.88, 260,  2.28, 13706
3000, 233.09, 231,  3.95, 13682
3500, 385.41, 222,  6.24, 13737
4000, 575.03, 222,  9.32, 13730
4500, 852.83, 213, 13.28, 13724
5000, 1181.31, 211, 18.19, 13740
