***-O1 Optimization***
500,  0.30, 829,  0.02, 12713
1000,  6.55, 305,  0.15, 13373
1500, 23.32, 289,  0.50, 13513
2000, 64.26, 249,  1.17, 13677
2500, 124.54, 250,  2.28, 13702
3000, 244.21, 221,  3.95, 13684
3500, 406.84, 210,  6.24, 13735
4000, 623.83, 205,  9.32, 13738
4500, 913.05, 199, 13.27, 13734
5000, 1273.34, 196, 18.18, 13751
500,  0.30, 830,  0.02, 12725
1000,  6.55, 305,  0.15, 13379
1500, 23.26, 290,  0.50, 13527
2000, 64.19, 249,  1.17, 13698
2500, 126.47, 247,  2.28, 13717
3000, 244.71, 220,  3.94, 13697
3500, 406.22, 211,  6.24, 13751
4000, 638.46, 200,  9.32, 13741
4500, 914.26, 199, 13.27, 13738
5000, 1276.10, 195, 18.18, 13754
500,  0.30, 821,  0.02, 12646
1000,  6.55, 305,  0.15, 13363
1500, 23.15, 291,  0.50, 13528
2000, 64.18, 249,  1.17, 13685
2500, 126.75, 246,  2.28, 13703
3000, 243.93, 221,  3.94, 13690
3500, 406.17, 211,  6.24, 13735
4000, 628.45, 203,  9.32, 13726
4500, 914.08, 199, 13.27, 13729
5000, 1276.18, 195, 18.19, 13743
500,  0.30, 828,  0.02, 12708
1000,  6.56, 304,  0.15, 13339
1500, 23.26, 290,  0.50, 13521
2000, 64.31, 248,  1.17, 13675
2500, 125.76, 248,  2.28, 13700
3000, 243.74, 221,  3.95, 13680
3500, 406.15, 211,  6.24, 13740
4000, 627.39, 204,  9.32, 13728
4500, 914.05, 199, 13.28, 13724
5000, 1275.32, 196, 18.20, 13738
