No Optimization
500,  0.66, 381,  0.02, 12220
1000,  9.18, 217,  0.15, 12953
1500, 35.61, 189,  0.52, 13101
2000, 82.77, 193,  1.22, 13129
2500, 183.44, 170,  2.35, 13282
3000, 306.62, 176,  4.07, 13267
3500, 555.11, 154,  6.45, 13301
4000, 755.11, 169,  9.61, 13318
4500, 1215.28, 149, 13.69, 13311
5000, 1526.20, 163, 18.77, 13320
O1
500,  0.31, 800,  0.02, 12144
1000,  6.96, 287,  0.15, 12953
1500, 23.71, 284,  0.52, 13096
2000, 65.58, 243,  1.21, 13232
2500, 127.57, 244,  2.35, 13279
3000, 253.31, 213,  4.07, 13265
3500, 418.30, 204,  6.45, 13299
4000, 644.33, 198,  9.61, 13313
4500, 941.56, 193, 13.69, 13308
5000, 1312.65, 190, 18.77, 13316
O2
500,  0.15, 1619,  0.02, 12087
1000,  6.83, 292,  0.15, 12940
1500, 23.08, 292,  0.52, 13105
2000, 62.25, 257,  1.21, 13233
2500, 122.27, 255,  2.35, 13280
3000, 241.14, 223,  4.07, 13267
3500, 397.34, 215,  6.45, 13299
4000, 592.87, 215,  9.61, 13316
4500, 878.41, 207, 13.69, 13310
5000, 1215.21, 205, 18.77, 13318
O3
500,  0.15, 1620,  0.02, 12180
1000,  6.83, 292,  0.15, 12956
1500, 23.06, 292,  0.51, 13108
2000, 62.82, 254,  1.21, 13231
2500, 122.46, 255,  2.35, 13280
3000, 243.32, 221,  4.07, 13269
3500, 397.90, 215,  6.45, 13301
4000, 582.77, 219,  9.61, 13316
4500, 878.23, 207, 13.69, 13310
5000, 1215.00, 205, 18.77, 13317
O3 -funroll-loops
500,  0.13, 1918,  0.02, 12167
1000,  6.78, 294,  0.15, 12952
1500, 23.04, 293,  0.52, 13098
2000, 64.60, 247,  1.21, 13231
2500, 124.40, 251,  2.35, 13277
3000, 247.15, 218,  4.07, 13265
3500, 408.91, 209,  6.45, 13299
4000, 606.89, 210,  9.61, 13316
4500, 899.18, 202, 13.69, 13310
5000, 1250.42, 199, 18.77, 13318
