500,  0.65, 382,  0.02, 12293
1000,  9.08, 220,  0.15, 12965
1500, 36.11, 186,  0.53, 12729
2000, 87.96, 181,  1.28, 12463
2500, 193.09, 161,  2.49, 12532
3000, 322.60, 167,  4.31, 12527
3500, 579.89, 147,  6.83, 12551
4000, 795.11, 160, 10.20, 12550
4500, 1269.78, 143, 14.52, 12549
5000, 1605.74, 155, 19.30, 12951
