No Optimization
500,  0.64, 390,  0.03, 7349
1000,  7.97, 250,  0.15, 13348
1500, 34.91, 193,  0.50, 13405
2000, 82.92, 192,  1.17, 13630
2500, 180.08, 173,  2.28, 13703
3000, 300.16, 179,  3.94, 13696
3500, 539.94, 158,  6.24, 13747
4000, 750.41, 170,  9.32, 13736
4500, 1184.55, 153, 13.28, 13720
5000, 1502.62, 166, 18.19, 13744
O1
500,  0.30, 824,  0.02, 12698
1000,  6.55, 305,  0.15, 13354
1500, 23.27, 290,  0.50, 13518
2000, 64.37, 248,  1.17, 13674
2500, 126.74, 246,  2.28, 13694
3000, 245.06, 220,  3.95, 13677
3500, 409.32, 209,  6.24, 13731
4000, 628.66, 203,  9.32, 13728
4500, 922.24, 197, 13.28, 13722
5000, 1285.86, 194, 18.20, 13736
O2
500,  0.15, 1641,  0.02, 12698
1000,  6.42, 311,  0.15, 13354
1500, 22.59, 298,  0.50, 13507
2000, 61.81, 258,  1.17, 13670
2500, 121.24, 257,  2.28, 13693
3000, 236.51, 228,  3.95, 13671
3500, 390.60, 219,  6.25, 13728
4000, 583.75, 219,  9.33, 13726
4500, 860.71, 211, 13.29, 13716
5000, 1190.89, 209, 18.20, 13735
O3
500,  0.15, 1669,  0.02, 12697
1000,  6.41, 312,  0.15, 13346
1500, 22.67, 297,  0.50, 13508
2000, 61.85, 258,  1.17, 13672
2500, 120.82, 258,  2.28, 13697
3000, 234.54, 230,  3.95, 13675
3500, 389.72, 220,  6.24, 13733
4000, 586.67, 218,  9.32, 13733
4500, 861.14, 211, 13.28, 13722
5000, 1190.19, 210, 18.19, 13741
O3 -funroll-loops
500,  0.13, 1982,  0.02, 12692
1000,  6.41, 312,  0.15, 13344
1500, 22.58, 298,  0.50, 13514
2000, 63.18, 253,  1.17, 13670
2500, 123.08, 253,  2.28, 13694
3000, 240.34, 224,  3.95, 13682
3500, 403.51, 212,  6.24, 13733
4000, 602.00, 212,  9.32, 13732
4500, 888.03, 205, 13.28, 13720
5000, 1235.21, 202, 18.19, 13741
